0,1,0.3,0.3,1,0,
1,1,0.3,0.3,1,0,
0,2,0.6,0.6,1,0,
1,2,0.6,0.6,1,0,
0,3,-0.1,0.9,1,1,
1,3,0.9,0.9,1,0,
0,4,0.2,1.2,1,1,
1,4,1.2,1.2,1,0,
0,5,0.5,1.5,1,1,
1,5,1.5,1.5,1,0,
0,6,-0.2,1.8,1,2,
1,6,1.8,1.8,1,0,
0,7,0.1,2.1,1,2,
1,7,1.1,0.1,2,0,
0,8,0.4,2.4,1,2,
1,8,1.4574,0.7,2,0,
0,9,0.7,2.7,1,2,
1,9,1.8148,1.3,2,0,
0,10,-2.22045e-16,1,2,2,
1,10,1.1722,1.9,2,1,
0,11,0.357398,1.6,2,2,
1,11,1.52959,2.5,2,1,
0,12,-0.285203,2.2,2,3,
1,12,1.88699,3.1,2,1,
0,13,0.0721955,2.8,2,3,
1,13,1.24439,1.7,3,1,
0,14,0.429594,3.4,2,3,
1,14,1.56762,2.6,3,1,
0,15,-0.213008,4,2,4,
1,15,1.89085,3.5,3,1,
0,16,0.144391,4.6,2,4,
1,16,1.21408,4.4,3,2,
0,17,0.501789,5.2,2,4,
1,17,1.53731,5.3,3,2,
0,18,-0.140812,5.8,2,5,
1,18,1.86053,6.2,3,2,
0,19,0.216586,6.4,2,5,
1,19,1.18376,5.1,4,2,
0,20,0.573985,7,2,5,
1,20,1.41336,6.3,4,2,
0,21,-0.0686167,5.6,3,5,
1,21,1.64295,7.5,4,2,
0,22,0.254612,6.5,3,5,
1,22,1.87254,8.7,4,2,
0,23,0.57784,7.4,3,5,
1,23,1.10214,9.9,4,3,
0,24,-0.098931,8.3,3,6,
1,24,1.33173,11.1,4,3,
0,25,0.224297,9.2,3,6,
1,25,1.56133,12.3,4,3,
0,26,0.547526,10.1,3,6,
1,26,1.79092,13.5,4,3,
0,27,-0.129245,9,4,6,
1,27,2.02051,14.7,4,3,
0,28,0.100349,10.2,4,6,
1,28,1.25011,15.9,4,4,
0,29,0.329942,11.4,4,6,
1,29,1.4797,17.1,4,4,
0,30,0.559536,12.6,4,6,
1,30,1.7093,18.3,4,4,
0,31,-0.21087,11.8,5,6,
1,31,1.93889,19.5,4,4,
0,32,-0.119128,13.3,5,6,
